"STATION","NAME","DATE","PRCP"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-19","0.07"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-20","0.48"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-21","0.03"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-22","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-23","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-24","0.37"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-25","0.01"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-26","0.02"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-27","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-28","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-29","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-30","0.06"
"FRM00007156","PARIS MONTSOURIS, FR","2022-07-01","0.41"
"FRM00007156","PARIS MONTSOURIS, FR","2022-07-02","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-07-03","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-07-04","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-07-05","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-07-06","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-07-07","0.00"
